"Year","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","Total"
1984,0,0,0,0,0,0,0,0,3,5,8,11,15,23,40,72,92,99,87,69,62,36,15,16,12,10,20,13,24,32,28,25,42,37,46,47,45,34,33,22,17,12,16,9,6,7,12,14,13,13,8,17,16,9,11,8,14,20,9,12,8,7,7,3,3,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1400
1987,0,1,0,0,0,0,0,0,0,1,2,10,6,15,24,28,32,42,58,65,84,90,85,111,122,128,130,118,139,144,113,141,107,96,88,81,94,80,81,65,73,48,61,47,34,36,18,23,9,5,10,7,4,2,2,6,5,3,3,5,4,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2793
1989,0,0,0,0,0,0,2,2,5,3,7,18,15,28,36,55,88,120,129,162,140,164,128,102,70,40,18,15,11,5,13,14,24,18,14,20,13,24,22,9,15,13,10,9,16,12,13,23,18,24,28,32,11,27,27,14,14,19,19,7,9,6,7,7,4,4,1,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1931
1991,0,0,0,0,0,0,0,0,0,0,0,1,5,6,16,15,33,40,56,59,64,55,48,37,17,13,18,17,19,26,49,25,32,34,29,34,26,37,51,34,32,35,43,27,26,20,11,27,8,8,8,5,3,5,6,3,4,2,4,1,1,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1182
1993,0,0,0,0,0,0,0,0,0,0,1,3,7,15,17,41,56,65,66,58,41,26,16,9,3,2,4,6,6,13,20,19,25,37,29,29,27,23,12,19,10,11,8,6,8,4,5,7,11,8,8,12,9,21,13,9,12,8,14,13,6,5,8,5,2,6,2,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,932
1995,0,0,0,0,0,0,0,0,0,1,5,13,24,26,59,70,83,68,54,39,23,26,16,13,9,5,4,12,8,14,24,27,22,32,16,31,17,17,13,6,11,3,5,7,8,3,8,2,5,13,10,3,8,10,12,12,6,7,4,6,4,1,0,0,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,933
1996,0,0,0,0,0,0,0,0,0,2,5,10,32,39,55,37,52,55,51,47,36,24,15,18,5,4,8,6,8,11,10,21,26,34,33,32,46,41,31,22,27,21,28,27,23,30,26,23,24,33,26,27,31,22,25,16,17,10,9,6,6,14,10,12,16,8,12,5,6,10,7,5,2,1,2,0,0,1,0,0,0,0,1384
1998,0,0,0,0,0,0,0,0,2,6,17,26,29,44,58,54,53,59,41,40,24,15,4,8,4,2,2,2,4,6,4,6,8,13,17,18,19,26,23,10,26,25,23,26,33,14,13,19,21,31,13,18,15,20,24,23,16,20,17,24,14,19,19,9,3,8,3,8,3,2,3,1,4,2,1,2,0,0,0,0,0,0,1166
2000,0,0,0,0,0,0,0,0,0,2,3,12,4,11,20,13,8,16,12,5,9,9,6,9,6,4,1,3,8,4,5,5,7,10,4,8,4,5,6,1,4,3,3,5,0,4,3,8,5,0,3,8,7,4,6,1,1,4,1,1,0,4,1,0,0,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,303
2002,0,0,1,1,0,0,0,2,2,2,11,11,27,15,37,34,46,51,89,57,102,42,95,46,48,35,35,14,14,10,27,23,45,26,60,43,59,34,41,18,23,15,13,8,10,13,15,11,23,13,26,9,30,16,21,12,15,14,17,6,13,11,14,3,7,2,1,3,1,0,1,3,3,1,1,1,0,0,1,0,0,1,1580
2003,1,0,1,0,2,7,19,23,59,68,117,85,136,94,124,98,121,97,100,45,72,37,44,19,21,5,7,10,11,11,14,16,27,13,24,24,24,15,26,11,14,11,16,9,22,6,17,10,19,10,12,3,15,5,9,11,5,2,9,3,8,2,6,4,2,3,3,2,2,1,1,0,1,0,1,1,0,0,0,0,0,0,1873
