rt1_1928,rt1_1929,rt1_1930,rt1_1931,rt1_1932,rt1_1933,rt1_1934,rt1_1935,rt1_1936,rt1_1937,rt1_1938,rt1_1939,rt1_1940,rt1_1941,rt1_1942,rt1_1943,rt1_1944,rt1_1945,rt1_1946,rt1_1947,rt1_1948,rt1_1949,rt1_1950,rt1_1951,rt1_1952,rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002
243650,245404,245234,242997,238880,234570,231041,226585,219019,208476,200632,196264,191463,188386,186669,184645,181650,169736,152728,139953,130752,124371,120364,118220,118114,117061,115852,113806,110937,107169,100956,94801.1,88755,83419.5,80114,77900.4,77436.8,75227.7,69742.9,63826,62076.4,62622.9,64385.4,60088.6,56036.7,56116.4,57680,58429.4,54788.4,52015,51666,50423.7,46568.6,44685.8,41260.4,36299.8,33601,33888.9,32714.2,31453.2,26780.2,22685.4,21458.8,21848.4,24612.4,28514.3,33538.7,39595.3,40993.4,43398.8,49068,57418.6,62681.3,67031.8,72785.9
243650,245404,245234,242997,238880,234570,231041,226585,219019,208476,200632,196264,191463,188386,186669,184645,181650,169736,152728,139953,130752,124371,120364,118220,118114,117061,115852,113806,110937,107169,100956,94801.1,88755,83419.5,80114,77900.4,77436.8,75227.7,69742.9,63826,62076.4,62622.9,64385.4,60088.6,56036.7,56116.4,57680,58429.4,54788.4,52015,51666,50423.7,46568.6,44685.8,41260.4,36299.8,33601,33888.9,32714.2,31453.2,26780.2,22685.4,21458.8,21848.4,24612.4,28514.3,33538.7,39595.3,40993.4,43398.8,49068,57418.6,62681.3,67031.8,72785.9
243650,245404,245234,242997,238880,234570,231041,226585,219019,208476,200632,196264,191463,188386,186669,184645,181650,169736,152728,139953,130752,124371,120364,118220,118114,117061,115852,113806,110937,107169,100956,94801.1,88755,83419.5,80114,77900.4,77436.8,75227.7,69742.9,63826,62076.4,62622.9,64385.4,60088.6,56036.7,56116.4,57680,58429.4,54788.4,52015,51666,50423.7,46568.6,44685.8,41260.4,36299.8,33601,33888.9,32714.2,31453.2,26780.2,22685.4,21458.8,21848.4,24612.4,28514.3,33538.7,39595.3,40993.4,43398.8,49068,57418.6,62681.3,67031.8,72785.9
225217,255398,221802,218537,242960,250077,206569,209507,178576,149175,180685,150031,163242,167928,165638,165852,182461,145688,118824,121766,115721,107117,93794.2,130121,123320,117313,101113,128520,131097,113736,94803.2,94464,92574.3,82334.6,66157.1,77715.1,69519.7,60286.7,72324.4,53555.7,62942.6,57951.8,58564.2,56514.4,61535.9,46265.3,44894.8,46815.9,46199.8,47858.5,48190.6,50113.8,40090.8,36520.6,37905.5,35146.2,27106.2,25352.5,30089.8,27950.8,24277.4,22880.1,19439.4,20428.8,18849.9,25943.4,29028.6,43380.7,37921.5,36493.4,37979.1,44840.5,59526.2,63414.5,69336.7
225954,238778,206929,222551,233958,243199,223537,182303,195599,152753,190149,150664,142308,170754,175633,161802,190630,140218,134183,129078,99180.6,89529.7,88247.7,146228,122339,108320,85658,104936,135121,90193.2,92484.7,85582.8,81314.7,68334.5,63771.6,96101.9,67758.7,58367.2,76243.6,51779.2,52778.7,50145.9,52715.4,52559.2,43913.8,40063,44117.9,37896.3,41788.1,47446.2,40660.7,47551.9,37814.9,31056.1,28719,24487.3,21516.6,23132.3,26765.7,27601,20895.6,18422.6,16059.7,14970,17721.8,19772.9,22885.8,43912.7,33437.4,23265.8,34202.1,37044.6,46648.8,59382.6,60427.3
231392,240737,215541,222601,226888,233232,224012,185232,149986,130093,208907,99408.7,133116,143220,188258,144722,213721,180628,150167,150441,92306.8,101441,90845.6,156936,128214,113011,81942.3,106313,121745,90261.9,87010,84136.3,89866.5,75897.1,62789.9,84280.6,53992.7,48033.5,88204.9,65246.1,50145.6,52034,59302.4,62878,51623.7,44883.8,42169.6,41281.9,40322,44768.7,54640.4,48340.4,37888.1,37056.5,32520.4,24727.7,23717.4,31511,32762.6,31798.6,22531,17905.2,16161.1,15182.7,20100.3,24231.6,23579.6,36002.8,45528.8,27295.9,38548,40546.2,52421.8,65900,69333.2
257944,244210,215749,262757,259594,268180,283517,223656,177220,140084,194882,114546,136402,161857,167276,125649,223222,198345,158510,139205,83784.8,90089.7,86996.7,145102,118556,102120,82833.5,100982,121070,92129.5,94848.7,79580.8,90404,80550.9,81744.8,88714.4,55554.8,48286.6,83747.9,73813,64235.1,64644.8,70901.8,81981,51160.5,52989,49752.4,52603.6,47546.4,53030.5,59216.9,49059.3,42789.8,47140.5,37499.7,29077.3,31701.1,35120.8,34332.5,40329.5,23831,21681.2,17208.7,19190.2,24884.2,28640.4,28312.4,37217.3,50890.8,34552.6,41648.2,46754.7,66794.8,69756.5,97076.5
272479,272627,231041,265077,284440,309950,270173,224982,164447,156339,252897,161813,164569,182551,182637,120147,234998,233106,197816,161568,86681.7,96293,74525.8,131308,139017,136881,119875,105202,121108,105287,140128,109109,113196,117746,101080,85858.6,62121.3,67532.9,95938.3,104068,66474.1,75746.7,77893.6,95233.9,57928,63163.2,60094.1,60561,60787.4,68939,79342.6,51418.3,62343.7,54776.9,43623.5,41058,44707.6,48190.4,36459.7,44436,30625.1,25113.2,21211.8,21631.8,30621.7,40517.3,34713.7,45230.8,53946.2,39529.7,44925.4,55289.2,81916.3,79607.9,105143
314052,286878,213166,254077,275549,277684,271436,210692,184483,205087,260188,161163,191726,191793,222127,161502,224315,289438,188274,159592,94042.6,83891.2,68523.9,103428,134568,114117,132771,101115,119781,81874.8,134304,87491.6,91650.7,96740.8,78014.1,89766.7,56374.9,59048.9,95625.3,100201,90690.1,87301.1,80320.1,85086.3,66645.7,72169.1,62614.2,70837.2,62236.2,83303.6,67177.8,65002.3,66796,51456.1,42153.5,50034,48201.4,51458.8,38635,50976.4,29829.2,24756.9,25213.2,20973.8,31932.5,41805.5,38772,56456.5,61479.1,42125.7,52089.4,73762.4,109671,110642,124238
258758,258549,204062,270350,257062,245238,221597,179268,165194,183942,257668,169945,220855,193366,248657,177651,233596,250371,173574,149996,77581.3,95379.1,89628.2,115250,151469,169854,127376,127099,126644,90964.2,116323,66215.9,72598.2,89632.9,85534,113854,92140,76141.2,90334.2,75405.2,71884.3,67625.7,82891,77351.6,50703.4,59872.7,56439,75026.4,62156.6,83230.8,59812.6,57002.9,80327.1,46082.5,43820.7,39270.1,42186,46693.4,34106.7,41480,25341.1,27670.2,22451.4,25755.3,31510.8,32411.3,42026.4,57137.7,50332.1,53486.3,46172.2,75121,116995,107312,107615
